transaction_id,supplier_id,supplier_category,invoice_number,po_number,invoice_date,payment_date,payment_terms_days,po_amount,invoice_amount,paid_amount,invoice_currency,payment_currency,bank_account,bank_changed_recently,anomaly_type,amount_usd,is_anomaly
TXN-0001391,SUP-0038,Information Technology,INV-263-2026-001391,PO-2026-001391,2025-01-01,2025-01-21,30,7604.13,6007.5,6007.5,AED,AED,BANK-86107842,False,normal,1635.84,0
TXN-0001407,SUP-0141,Professional Services,INV-281-2026-001407,PO-2026-001407,2025-01-01,2025-02-28,60,13750.39,12700.3,12700.3,AED,AED,BANK-10585992,False,normal,3458.29,0
TXN-0001777,SUP-0006,Ground Services,INV-252-2026-001777,PO-2026-001777,2025-01-01,2025-02-19,45,5536.22,4141.16,4141.16,GBP,GBP,BANK-30719258,False,normal,5259.27,0
TXN-0002144,SUP-0007,Information Technology,INV-821-2026-002144,PO-2025-002144,2025-01-01,2025-03-13,60,23565.77,22447.79,22447.79,EUR,EUR,BANK-31280989,False,normal,24468.09,0
TXN-0002448,SUP-0070,Ground Services,INV-196-2026-002448,PO-2025-002448,2025-01-01,2025-03-16,60,11548.91,8825.63,8825.63,USD,USD,BANK-63944450,False,normal,8825.63,0
TXN-0002765,SUP-0055,Aircraft Components,INV-279-2026-002765,PO-2026-002765,2025-01-01,2025-01-28,30,10739.91,8508.24,8508.24,AED,AED,BANK-44199230,False,normal,2316.79,0
TXN-0002816,SUP-0043,Maintenance,INV-287-2026-002816,PO-2025-002816,2025-01-01,2025-03-10,60,12569.15,10378.81,10378.81,AED,AED,BANK-56697251,False,normal,2826.15,0
TXN-0002945,SUP-0040,Facilities,INV-501-2026-002945,PO-2026-002945,2025-01-01,2025-02-03,30,16454.35,12617.54,12617.54,AED,AED,BANK-30107614,False,normal,3435.76,0
TXN-0003043,SUP-0030,Information Technology,INV-130-2026-003043,PO-2026-003043,2025-01-01,2025-02-16,30,8372.84,7989.93,7989.93,AED,AED,BANK-14041955,False,normal,2175.66,0
TXN-0003104,SUP-0146,Maintenance,INV-730-2026-003104,PO-2025-003104,2025-01-01,2025-01-30,30,123587.86,109235.26,109235.26,USD,USD,BANK-76449297,False,normal,109235.26,0
TXN-0003150,SUP-0076,Information Technology,INV-196-2026-003150,PO-2025-003150,2025-01-01,2025-02-20,60,10990.58,9418.27,9418.27,USD,USD,BANK-37929130,False,normal,9418.27,0
TXN-0004069,SUP-0114,Ground Services,INV-346-2026-004069,PO-2026-004069,2025-01-01,2025-03-31,90,11907.18,9381.33,9381.33,AED,AED,BANK-93480628,False,normal,2554.54,0
TXN-0004554,SUP-0035,Ground Services,INV-863-2026-004554,PO-2025-004554,2025-01-01,2025-01-19,30,7117.5,5709.66,5709.66,AED,AED,BANK-23638594,False,normal,1554.74,0
TXN-0004711,SUP-0150,Information Technology,INV-838-2026-004711,PO-2026-004711,2025-01-01,2025-02-19,45,28101.97,27361.76,27361.76,USD,USD,BANK-67087104,False,normal,27361.76,0
TXN-0000211,SUP-0116,Aircraft Components,INV-980-2026-000211,PO-2026-000211,2025-01-02,2025-02-09,30,10688.03,8905.69,8905.69,EUR,EUR,BANK-45782037,False,normal,9707.2,0
TXN-0000632,SUP-0094,Professional Services,INV-975-2026-000632,PO-2025-000632,2025-01-02,2025-03-30,90,21056.13,20601.03,20601.03,USD,USD,BANK-20964925,False,normal,20601.03,0
TXN-0002525,SUP-0060,Aircraft Components,INV-797-2026-002525,PO-2026-002525,2025-01-02,2025-01-29,30,1438.5,1065.45,1065.45,USD,USD,BANK-31687351,False,normal,1065.45,0
TXN-0003037,SUP-0133,Aircraft Components,INV-807-2026-003037,PO-2026-003037,2025-01-02,2025-03-21,60,10265.35,9141.81,9141.81,AED,AED,BANK-23338758,False,normal,2489.31,0
TXN-0003140,SUP-0119,Ground Services,INV-189-2026-003140,PO-2025-003140,2025-01-02,2025-03-06,45,4922.59,3640.97,3640.97,USD,USD,BANK-21899503,False,normal,3640.97,0
TXN-0003198,SUP-0092,Aircraft Components,INV-250-2026-003198,PO-2025-003198,2025-01-02,2025-03-01,60,102156.28,74375.47,74375.47,AED,AED,BANK-70989279,False,normal,20252.44,0
